,Customer Lifetime Value,Predicted_xgb
3261,2807.049427,2806.613245318705
5319,5657.685223,5575.640460026293
8656,36632.53432,24123.90063483662
9023,2117.989147,2217.818367413383
2971,3086.013544,3023.651136547794
1944,5532.863336,5645.110538517367
1572,13160.3389,21405.459020721246
2657,2452.360892,2442.260937762099
8729,14816.95159,17274.755027772688
4707,6071.907243,6183.6401749539145
2355,2749.4079850000007,2753.1223076240876
478,11473.48149,14072.813362073653
8433,5377.907960000001,5371.537966548037
7804,8283.843281,8334.839985687291
1492,2899.317224,2902.2588167250997
4104,2300.691547,2301.2350090429068
4991,5824.817365999998,5916.820572864213
3484,2507.884662,2532.5087271958414
4738,4743.694528,4707.07172383293
5180,25253.10198,12740.121629326226
6781,8355.958185,7988.676910133023
5490,8200.269735,11672.296963140392
2731,2572.452634,2658.482441821729
9037,2537.667511,2534.174728349277
5385,8749.496793,8717.08411054644
1590,6990.917823999999,6952.637898384983
254,6112.756868,6146.315944391121
3296,5258.251562,5164.902952595613
8395,3669.83263,3545.683930037584
4264,10232.85415,10224.387903787385
1695,7672.681366,7590.44709499665
1141,7635.8833239999985,7697.998924736848
964,5439.804227000001,5437.67449034735
3531,12047.775,15493.092815316075
8712,6511.103163000002,6269.098837825122
7531,3548.148767,3534.87278153417
4240,10656.88195,11140.210406027782
5173,6106.941981,5876.511659294271
1482,2772.441318,2749.2172300300144
7063,9521.676094,9405.149421948978
8082,6191.402312,7015.647465709177
7369,2826.804029,2769.6581122194057
864,8507.128824,8376.259130697099
3053,5380.3164689999985,5346.919971063734
2284,6846.150323000002,6858.391436558892
7677,4179.488639,4126.941028375719
6859,20237.15039,10688.925898269026
3285,27945.89465,13657.28782185032
2415,5504.139033,5495.061655479968
2618,8901.468512000001,12175.424849797955
5092,6670.850638,6765.625794002427
7221,9415.901707,9472.59035422957
1248,2471.528431,2472.315338866505
252,8544.411076999999,8500.463554881011
4158,5687.897911,5658.679825596786
6595,5821.787383,5810.628552148683
6829,10581.275,10588.979582133077
5468,6721.893743000001,6639.0100323049755
8740,7685.652168,7638.538723133209
3887,7439.978923999999,7585.248893040352
3550,5130.8239509999985,4880.322202952196
3983,2759.978287,2760.383662599723
180,12252.60179,16185.146432112411
2029,5659.238384,5715.545101249039
3317,8535.108303,12337.343664214064
3940,8807.486831,12536.563352273877
6896,3545.413177000001,3964.893747796312
6518,9915.90229,10278.15707009584
5440,2674.07551,2639.2502550205686
2863,6945.016955,9599.577211575644
2809,7710.912153,9913.480987897688
6845,7606.7089799999985,7602.552207105806
9055,5843.614767,5868.976999154638
2896,7374.077920999999,7870.708003918967
5156,3615.889805,3513.9604900245
7528,22185.88045,10246.037349742352
769,6535.560574,8285.67841741362
5188,5241.142484,5294.933011324107
480,23594.6802,23287.82321699729
7068,2393.813375,2478.4677582089375
427,7851.901368000002,11163.503802958092
271,7859.414569,7889.634191835859
5871,8818.051498,8605.715430197963
3438,4465.604359,4439.620233587109
7891,4995.1712,5084.260025414082
4257,4466.101761999998,4444.2967136613215
2545,2939.330187,2904.477871291665
592,2778.903705,2769.471464515778
3176,4014.4531130000014,4012.389852815857
4655,6418.8491490000015,9786.539324310977
1307,8509.850887,9162.958863624393
1098,4015.214476,3920.4724578994615
6195,2780.845565,2774.622551989824
2455,6245.575806,6234.75444275589
2057,2931.155192,2884.856785307834
5223,6860.592636,7648.865725946048
390,5553.295758,5552.585083648059
8026,2525.419695,2436.564215766322
5862,3919.366722,3919.202837809254
6473,6715.294284000001,6850.031525013416
574,5162.1169439999985,5040.373216794142
3435,7109.296548,7222.250439572537
6789,5356.137712,5379.829369425968
7509,4899.977003,4904.37817914729
5814,15487.44072,21761.94374722013
8767,3544.541005,3501.1842017198987
7184,6950.100195,6881.634079743207
7865,7756.307651999998,9554.637364117087
7693,5935.815989,5891.962608874539
6078,2510.593651,2455.9215339492107
6532,4027.703503,4017.3996802228407
7209,5261.101863,5264.428582633218
3418,10484.91535,10879.856242197788
730,10552.16999,10405.07894312007
6398,3700.420255,3530.50002859929
7309,4334.064096,4331.326672384371
1809,5635.403677,5766.566185492981
3247,7659.499583,7746.92981883855
4249,16407.66461,16073.31080794547
3048,4866.647452,4742.568023290047
4003,13561.2048,13672.070933256258
7326,6005.847375,6012.180137510918
1480,2478.576723,2447.851864440916
1001,8338.995787,8287.487459124344
4089,11029.92619,14338.12926087078
3437,2719.506996,2706.664976702123
5453,5150.416511,5096.858151791332
5760,4257.477861,4304.701254690174
2999,8556.418397,8771.461311729412
